countryName,WHORegion,Cases - cumulative total,Cases,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,cumulativeDeathTotal,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
United States,Americas,37816239,11424.75,1038848,313.85,227282,625046,188.83,7418,2.24,1146
India,South-East Asia,32512366,2355.96,226509,16.41,37593,435758,31.58,3239,0.23,648
Brazil,Americas,20583994,9683.88,205424,96.64,13103,574848,270.44,5356,2.52,321
Russian Federation,Europe,6804910,4662.99,141437,96.92,19536,178423,122.26,5514,3.78,809
The United Kingdom,Europe,6555204,9656.19,232959,343.16,30619,131854,194.23,705,1.04,174
France,Europe,6470371,9948.39,136137,209.31,22004,112338,172.72,704,1.08,158
Turkey,Europe,6253711,7414.96,135203,160.31,19191,54995,65.21,1488,1.76,230
Argentina,Americas,5139966,11372.67,51695,114.38,6135,110609,244.73,1504,3.33,257
Colombia,Americas,4892235,9614.7,21313,41.89,2698,124315,244.32,735,1.44,99
Spain,Europe,4804424,10150.35,61492,129.91,5135,83527,176.47,365,0.77,21
Iran (Islamic Republic of),Eastern Mediterranean,4756394,5662.85,239151,284.73,40623,103357,123.05,4249,5.06,709
Italy,Europe,4494857,7536.46,45251,75.87,6078,128855,216.05,345,0.58,60
Indonesia,South-East Asia,4008166,1465.38,99919,36.53,0,128252,46.89,7111,2.6,0
Germany,Europe,3889173,4676.36,53798,64.69,11561,92061,110.69,140,0.17,39
Mexico,Americas,3231616,2506.44,123178,95.54,6543,253526,196.63,4874,3.78,371
Poland,Europe,2887270,7606.46,1387,3.65,233,75329,198.45,22,0.06,5
South Africa,Africa,2708951,4567.54,84697,142.81,10346,79953,134.81,1960,3.3,369
Ukraine,Europe,2276590,5205.57,7924,18.12,727,53521,122.38,185,0.42,20
Peru,Americas,2142565,6498.16,8200,24.87,412,197921,600.27,434,1.32,42
Netherlands,Europe,1923596,11050.33,17315,99.47,2504,17967,103.21,48,0.28,11
Philippines,Western Pacific,1869691,1706.22,104281,95.16,12067,32264,29.44,1802,1.64,303
Iraq,Eastern Mediterranean,1839910,4574.33,46538,115.7,7670,20337,50.56,522,1.3,75
Czechia,Europe,1678083,15691.91,1266,11.84,254,30387,284.15,9,0.08,2
Chile,Americas,1634774,8551.77,4444,23.25,380,36701,191.99,263,1.38,13
Malaysia,Western Pacific,1593602,4923.69,149332,461.39,20837,14553,44.96,1476,4.56,211
Canada,Americas,1473624,3904.45,17651,46.77,7758,26814,71.05,110,0.29,25
Bangladesh,South-East Asia,1472964,894.39,32320,19.62,0,25513,15.49,794,0.48,0
Japan,Western Pacific,1339115,1058.79,159939,126.46,20769,15693,12.41,226,0.18,30
Belgium,Europe,1170213,10155.95,9776,84.84,0,25342,219.94,36,0.31,0
Pakistan,Eastern Mediterranean,1131659,512.31,26359,11.93,4075,25094,11.36,521,0.24,91
Sweden,Europe,1119358,10838.52,6393,61.9,1713,14670,142.05,1,0.01,0
Thailand,South-East Asia,1102368,1579.32,133411,191.13,18417,10085,14.45,1800,2.58,297
Romania,Europe,1092971,5654.61,4377,22.64,849,34453,178.25,88,0.46,14
Portugal,Europe,1022807,9934.11,16219,157.53,2261,17658,171.51,74,0.72,13
Israel,Europe,1015043,11727.09,57259,661.53,9891,6880,79.49,154,1.78,10
Kazakhstan,Europe,823189,4384.1,40671,216.6,0,12655,67.4,930,4.95,0
Morocco,Eastern Mediterranean,821129,2224.65,48735,132.04,7184,11994,32.49,752,2.04,105
Hungary,Europe,811337,8304.77,679,6.95,134,30055,307.64,10,0.1,1
Jordan,Eastern Mediterranean,791466,7757.09,5769,56.54,1016,10320,101.15,81,0.79,12
Switzerland,Europe,758633,8765.64,13336,154.09,5,10403,120.2,19,0.22,0
Nepal,South-East Asia,751001,2577.5,11094,38.08,0,10568,36.27,172,0.59,0
Serbia,Europe,746366,10775.2,11550,166.75,2216,7226,104.32,49,0.71,8
United Arab Emirates,Eastern Mediterranean,711428,7193.12,7428,75.1,990,2026,20.48,20,0.2,2
Austria,Europe,674123,7573.51,8279,93.01,1018,10571,118.76,10,0.11,3
Tunisia,Eastern Mediterranean,644072,5449.64,14370,121.59,0,22714,192.19,758,6.41,0
Cuba,Americas,602526,5319.56,65917,581.97,9907,4710,41.58,554,4.89,92
Lebanon,Eastern Mediterranean,593929,8701.69,9033,132.34,1149,8019,117.49,31,0.45,5
